"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"LT3081EFE#PBF","Linear Technology/Analog Devices","LT3081EFE#PBF-ND","","","Tube","Active","1","6.48000","$6.48","459","8 Weeks","IC REG LIN POS ADJ 1.5A 16TSSOP","RoHS Compliant","Lead free","REACH Unaffected"
"LM334Z/NOPB","Texas Instruments","LM334ZNS/NOPB-ND","","","Box","Active","1","0.87000","$0.87","14066","16 Weeks","IC CURRENT SOURCE 3% TO92-3","RoHS Compliant","Lead free","REACH Unaffected"
"PJ-002A","CUI Inc.","CP-002A-ND","","","Bag","Active","1","0.60000","$0.60","128622","10 Weeks","CONN PWR JACK 2X5.5MM SOLDER","RoHS Compliant","Lead free","Not Available"
"P160KN-0QC15B500K","TT Electronics/BI","987-1304-ND","","","Tray","Active","1","0.79000","$0.79","745","10 Weeks","POT 500K OHM 1/5W PLASTIC LINEAR","RoHS Compliant","Lead free","REACH Unaffected"
"P160KN-0QC15B10K","TT Electronics/BI","987-1301-ND","","","Tray","Active","1","0.79000","$0.79","4716","10 Weeks","POT 10K OHM 1/5W PLASTIC LINEAR","RoHS Compliant","Lead free","REACH Unaffected"
"LM4040EIM3X-2.5/NOPB","Texas Instruments","LM4040EIM3X-2.5/NOPBCT-ND","","","Cut Tape (CT)","Active","1","0.44000","$0.44","11631","1 Weeks","IC VREF SHUNT 2.5V SOT23-3","RoHS Compliant","Lead free","REACH Unaffected"
"SK-14D01-G 6","C&K","CKN10368-ND","","","Bulk","Active","2","0.36000","$0.72","2775","13 Weeks","SWITCH SLIDE SP4T 300MA 30V","RoHS Compliant","Lead free","REACH Unaffected"
"691137710002","Wurth Electronics Inc.","732-10955-ND","","","Box","Active","1","0.38000","$0.38","3902","16 Weeks","TERM BLK 2POS SIDE ENTRY 5MM PCB","RoHS Compliant","Lead free","REACH Unaffected"
"CL31A106MBHNNNE","Samsung Electro-Mechanics","1276-6736-1-ND","","","Cut Tape (CT)","Active","2","0.30000","$0.60","298978","Not Available","CAP CER 10UF 50V X5R 1206","RoHS Compliant","Lead free","REACH Unaffected"
"TC33X-2-101E","Bourns Inc.","TC33X-101ECT-ND","","","Cut Tape (CT)","Active","1","0.28000","$0.28","749","18 Weeks","TRIMMER 100 OHM 0.1W J LEAD TOP","RoHS Compliant","Lead free","REACH Unaffected"
"CRCW12061R80FKEA","Vishay Dale","541-1.80FFCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","4595","14 Weeks","RES SMD 1.8 OHM 1% 1/4W 1206","RoHS Compliant","Lead free","Not Available"
"RNCP1206FTD4R70","Stackpole Electronics Inc","RNCP1206FTD4R70CT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","318328","18 Weeks","RES 4.7 OHM 1% 1/2W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"RC1206FR-0713RL","Yageo","311-13.0FRCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","205015","16 Weeks","RES SMD 13 OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"RMCF1206FT27R0","Stackpole Electronics Inc","RMCF1206FT27R0CT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","18732","17 Weeks","RES 27 OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"CRGCQ1206F68R","TE Connectivity Passive Product","A129796CT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","63049","28 Weeks","CRGCQ 1206 68R 1%","RoHS Compliant","Lead free","Not Available"
"RNCP1206FTD100R","Stackpole Electronics Inc","RNCP1206FTD100RCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","651800","18 Weeks","RES 100 OHM 1% 1/2W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"RNCP1206FTD180R","Stackpole Electronics Inc","RNCP1206FTD180RCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","78712","18 Weeks","RES 180 OHM 1% 1/2W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"RNCP1206FTD1R00","Stackpole Electronics Inc","RNCP1206FTD1R00CT-ND","","","Cut Tape (CT)","Active","4","0.10000","$0.40","600591","18 Weeks","RES 1 OHM 1% 1/2W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"RMCF1206FT39R0","Stackpole Electronics Inc","RMCF1206FT39R0CT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","16042","17 Weeks","RES 39 OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"RC1206FR-071K5L","Yageo","311-1.50KFRCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","2341272","16 Weeks","RES SMD 1.5K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"CRG1206F1M0","TE Connectivity Passive Product","A106072CT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","190895","28 Weeks","RES SMD 1M OHM 1% 1/4W 1206","RoHS Compliant","Lead free","Not Available"
"RC1206FR-0724KL","Yageo","311-24.0KFRCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","233935","16 Weeks","RES SMD 24K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"RNCP1206FTD1K00","Stackpole Electronics Inc","RNCP1206FTD1K00CT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","566298","18 Weeks","RES 1K OHM 1% 1/2W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"RMCF1206FT150K","Stackpole Electronics Inc","RMCF1206FT150KCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","58922","17 Weeks","RES 150K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"RMCF1206FT10K0","Stackpole Electronics Inc","RMCF1206FT10K0CT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","1066955","17 Weeks","RES 10K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"LM393ADR","Texas Instruments","296-14605-1-ND","","","Cut Tape (CT)","Active","1","0.36000","$0.36","87570","1 Weeks","IC DUAL DIFF COMPARATOR 8-SOIC","RoHS Compliant","Lead free","REACH Unaffected"
"TC33X-2-504E","Bourns Inc.","TC33X-2-504ECT-ND","","","Cut Tape (CT)","Active","1","0.28000","$0.28","10204","18 Weeks","TRIMMER 500K OHM 0.1W J LEAD TOP","RoHS Compliant","Lead free","REACH Unaffected"
"LM317LCLP","Texas Instruments","296-33312-5-ND","","","Bulk","Active","2","0.43000","$0.86","3029","16 Weeks","IC REG LIN POS ADJ 100MA TO92-3","RoHS Compliant","Lead free","REACH Unaffected"
"111-0702-001","Cinch Connectivity Solutions Johnson","J10125-ND","","","Bulk","Active","1","3.57000","$3.57","5967","6 Weeks","CONN BIND POST KNURLED RED","RoHS Compliant","Lead free","Not Available"
"111-0703-001","Cinch Connectivity Solutions Johnson","J10126-ND","","","Bulk","Active","1","2.98000","$2.98","3052","6 Weeks","CONN BIND POST KNURLED BLACK","RoHS Compliant","Lead free","Not Available"
"151031SS06000","Wurth Electronics Inc.","732-5006-ND","","","Bulk","Active","2","0.17000","$0.34","5963","19 Weeks","LED RED DIFFUSED 3MM ROUND T/H","RoHS Compliant","Lead free","REACH Unaffected"